slot,policy,jain,alpha_0,alpha_1,alpha_2,weighted_fairness,gini,max_min,mean_rate,cell_edge_rate,operator_imbalance,num_users,num_allocated,total_allocation
69,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,20628504.93309963,3691564.6573404493,0.6666666666666667,5000,50,750.0
70,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,18976903.4800138,3798587.2491539097,0.6666666666666667,5000,50,750.0
71,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,21303422.389413286,2764232.71923553,0.6666666666666667,5000,50,750.0
72,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,19258791.670557145,4260523.1926126,0.6666666666666667,5000,50,750.0
73,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,22255563.203952495,9546657.143184077,0.6666666666666667,5000,50,750.0
74,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,24374151.882484294,2676654.0551506914,0.6666666666666667,5000,50,750.0
75,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,21218019.54008679,1435873.4241704124,0.6666666666666667,5000,50,750.0
76,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,18126361.482862156,2071086.916108154,0.6666666666666667,5000,50,750.0
77,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,17059182.025716975,1239025.5452935663,0.6666666666666667,5000,50,750.0
78,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,16402122.984288406,2143502.5871011177,0.6666666666666667,5000,50,750.0
79,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,19503707.13512634,2748061.4418403013,0.6666666666666667,5000,50,750.0
80,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,21640419.43930472,3024326.566355499,0.6666666666666667,5000,50,750.0
81,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,17573560.080173958,1802601.395128733,0.6666666666666667,5000,50,750.0
82,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,19856504.588657424,4278442.003662221,0.6666666666666667,5000,50,750.0
83,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,20418736.07723632,2275206.4185141516,0.6666666666666667,5000,50,750.0
84,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,19141982.454371296,813081.7848495522,0.6666666666666667,5000,50,750.0
