slot,policy,jain,alpha_0,alpha_1,alpha_2,weighted_fairness,gini,max_min,mean_rate,cell_edge_rate,operator_imbalance,num_users,num_allocated,total_allocation
54,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,20247575.42851259,2269352.0637252186,0.3442666666666667,5000,5000,75000.0
55,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,20182944.101612568,1994622.8845927587,0.3442666666666667,5000,5000,75000.0
56,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,19717854.867852803,1996758.8936467243,0.3442666666666667,5000,5000,75000.0
57,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,20090210.618761394,1916404.757071582,0.3442666666666667,5000,5000,75000.0
58,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,19823694.326342598,2013451.6223483656,0.3442666666666667,5000,5000,75000.0
59,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,20051743.36801305,2075514.8203298242,0.3442666666666667,5000,5000,75000.0
60,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,19878959.97920542,1880533.8913919106,0.3442666666666667,5000,5000,75000.0
61,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,20083332.107491303,2084918.4707447037,0.3442666666666667,5000,5000,75000.0
62,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,19757662.611295015,1877454.2589748874,0.3442666666666667,5000,5000,75000.0
63,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,19807909.80148176,2033412.4944611199,0.3442666666666667,5000,5000,75000.0
64,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,20096472.76580624,2159469.0301705347,0.3442666666666667,5000,5000,75000.0
65,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,20032004.70136549,2188111.5385274924,0.3442666666666667,5000,5000,75000.0
66,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,20074430.629922654,2008891.3424460548,0.3442666666666667,5000,5000,75000.0
67,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,19953819.138241787,1925944.3166371495,0.3442666666666667,5000,5000,75000.0
68,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,19862537.589754555,2001702.7527511285,0.3442666666666667,5000,5000,75000.0
69,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,19967961.22423486,1970506.9212234274,0.3442666666666667,5000,5000,75000.0
70,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,19979847.462043583,2053799.8972571634,0.3442666666666667,5000,5000,75000.0
71,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,19946961.42454858,1884018.3562739843,0.3442666666666667,5000,5000,75000.0
72,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,20333726.044172987,2153665.6752266875,0.3442666666666667,5000,5000,75000.0
73,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,19754267.34506083,2034876.2539262867,0.3442666666666667,5000,5000,75000.0
74,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,20012272.66339619,1932931.8627509314,0.3442666666666667,5000,5000,75000.0
75,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,19899164.13535156,1802955.4678058957,0.3442666666666667,5000,5000,75000.0
76,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,19928012.306975666,1811314.946532975,0.3442666666666667,5000,5000,75000.0
77,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,19899200.602458756,2147904.632816314,0.3442666666666667,5000,5000,75000.0
78,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,20186251.833623532,2074871.7272576275,0.3442666666666667,5000,5000,75000.0
79,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,19722422.50786976,1938624.3268151272,0.3442666666666667,5000,5000,75000.0
80,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,19931357.7504038,1751839.117840076,0.3442666666666667,5000,5000,75000.0
81,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,20134729.428523548,1917871.1293437781,0.3442666666666667,5000,5000,75000.0
82,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,20160903.460722115,1904778.0829732842,0.3442666666666667,5000,5000,75000.0
83,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,20119804.185964912,2067167.7345204842,0.3442666666666667,5000,5000,75000.0
84,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,19857449.308162637,1994399.9811525794,0.3442666666666667,5000,5000,75000.0
85,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,19965195.67841673,1925195.8784463962,0.3442666666666667,5000,5000,75000.0
86,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,19825907.59733046,2042721.190448632,0.3442666666666667,5000,5000,75000.0
